N_MODEL,HIDDEN_SIZE,N_LAYERS,DIRECTIONS,RECALL,PRECISION,F1,RECALL_WO_O,PRECISION_WO_O,F1_WO_O
Model1,500,1,1,0.8230013344656072,0.7835602904121313,0.770866441066841,0.17064439140811455,0.6948165006451377,0.2554446450570908
Model2,500,2,1,0.8327065388814752,0.8114148645627671,0.7882815244689606,0.2392601431980907,0.7648003457548492,0.3265627946875847
Model3,500,3,1,0.8051680213514497,0.7657512126590238,0.7801305877756547,0.31861575178997614,0.4790752921745642,0.35959310764441843
Model4,500,1,2,0.8610942617978892,0.8505027151630755,0.8436262306761463,0.44093078758949883,0.7924175138282097,0.5405637788278349
Model5,500,2,2,0.8887540943831129,0.8795307002387897,0.873658682823548,0.5149164677804295,0.8693481602092098,0.6306485584668406
Model6,500,3,2,0.8868130534999393,0.8805779956434182,0.8723525778156725,0.5053699284009546,0.8344072291565534,0.6087717153351563
Model7,800,1,2,0.8689797403857819,0.8576767796115099,0.8514305298262362,0.46837708830548924,0.8138792765664308,0.5676115690071093
Model8,800,2,2,0.8921509159286668,0.893471551100036,0.881243993498544,0.5715990453460621,0.8655254869751962,0.6586656003184312
Model9,800,3,2,0.8813538760160136,0.8843884608094539,0.8709720735341505,0.48985680190930786,0.8411057106515992,0.6059366919296508
